number1 number2
13050.33 4910
36630.3 3039
42750.3 2183
2020.3 3676
20380.3 3411
15680.3 4206
39900.3 649
34380.3 2781
14090.3 489
37600.3 539
12090.3 1926
3110.3 407
15390.3 1593
25790.3 890
1750.3 1732
49770.3 910
49800.3 1961
16630.3 2948
34820.3 1780
43140.3 2332
29620.3 1477
14870.3 1292
38090.3 1106
14240.3 2049
20510.3 1887
42050.3 1800
20010.3 4486
12510.3 1166
15880.3 1630
2170.3 722
17450.3 4750
9400.3 3177
45440.3 1268
19400.3 4576
28480.3 1619
8380.3 4140
40000.3 3535
31800.3 895
45500.3 893
35040.3 3030
32540.3 2270
40420.3 2868
44810.3 3871
47380.3 3523
42270.3 778
30710.3 1050
17130.3 4165
44250.3 3887
15350.3 3607
35660.3 266
30440.3 204
39160.3 813
26540.3 1039
43570.3 2193
48960.3 1240
27990.3 3855
39080.3 2675
25200.3 1456
8790.3 1497
35050.3 2944
7850.3 3168
31880.3 1516
10810.3 4131
40900.3 777
39890.3 2538
37990.3 1704
25950.3 3817
12230.3 1151
1980.3 4704
46790.3 3269
3150.3 4690
25550.3 1192
26720.3 1763
37570.3 2887
2300.3 4966
14570.3 2787
24070.3 1556
15190.3 3694
17870.3 4229
49660.3 4614
20760.3 1809
4860.3 410
23950.3 3778
37910.3 1111
9430.3 2723
28340.3 1112
2870.3 3251
18450.3 2027
22600.3 202
1180.3 4613
6350.3 3330
1020.3 3775
38870.3 2539
40220.3 4805
14800.3 4556
16480.3 1447
13990.3 4557
12450.3 4934
32330.3 2189
14920.3 632
20460.3 737
20.3 2263
4940.3 3460
3590.3 3922
24370.3 4917
17450.3 4086
8430.3 2718
44740.3 2318
12060.3 2444
39160.3 819
31620.3 495
46780.3 1612
15030.3 968
46580.3 2045
23960.3 3852
4500.3 3103
3750.3 126
48690.3 4983
20420.3 2755
7150.3 910
15380.3 4072
13000.3 2025
1670.3 989
37330.3 4324
1610.3 4763
44990.3 2834
27030.3 4577
32830.3 2839
29250.3 484
12780.3 1112
40750.3 1718
9930.3 2311
14270.3 546
39220.3 4883
46750.3 4689
40870.3 1753
4160.3 1687
20720.3 4576
27820.3 3126
6980.3 1714
32470.3 60
44520.3 4169
25120.3 1119
9200.3 4415
15100.3 1350
45750.3 772
39180.3 1167
38510.3 990
15300.3 5000
32350.3 565
32280.3 172
21530.3 3072
35520.3 3355
26700.3 157
9440.3 1454
36840.3 2647
7540.3 721
34680.3 2853
39130.3 4949
22330.3 2373
41380.3 3623
41890.3 2209
41860.3 1911
29810.3 3865
34050.3 2568
26770.3 4875
30130.3 1646
38140.3 1818
18390.3 1554
24620.3 4841
22240.3 1479
6950.3 1802
5160.3 3415
39490.3 1651
31980.3 2705
4740.3 2866
39550.3 1487
48700.3 465
18670.3 2586
43260.3 913
12360.3 1296
1960.3 4160
18110.3 4725
9810.3 1843
31370.3 3558
42790.3 3824
46970.3 3513
31400.3 2093
46880.3 3000
45610.3 4211
48070.3 2364
40520.3 3486
15420.3 4657
32570.3 1410
2840.3 4022
45480.3 4989
40180.3 550
28740.3 962
9930.3 1783
5510.3 3443
7840.3 4605
8920.3 683
13110.3 2603
48550.3 579
30190.3 1196
18480.3 3340
35350.3 2540
21320.3 1148
36680.3 4346
33100.3 3558
4930.3 1019
15340.3 2287
47300.3 1789
28490.3 753
4300.3 2892
45640.3 3141
24260.3 1182
18440.3 801
48940.3 1079
22010.3 1599
33790.3 3884
1130.3 171
18760.3 871
25940.3 112
15970.3 570
21610.3 442
28270.3 4344
40420.3 3575
19690.3 2835
10870.3 4831
5880.3 1644
9330.3 1804
22340.3 2387
3790.3 1050
10210.3 892
38810.3 1146
49580.3 3620
10790.3 2596
27940.3 2189
9620.3 1057
960.3 1682
13970.3 3976
12550.3 4679
24480.3 3923
45500.3 2243
4220.3 510
47380.3 483
41450.3 2601
12600.3 2083
1910.3 3430
40080.3 1036
22330.3 886
22970.3 3882
12610.3 1288
35370.3 4320
15620.3 3108
26790.3 2302
30300.3 1253
7820.3 2783
15500.3 1002
17610.3 1878
33390.3 474
16340.3 693
12470.3 2515
32980.3 791
47700.3 4811
27870.3 1362
21560.3 95
28740.3 2817
23670.3 3870
40700.3 284
19420.3 1243
13600.3 1099
26810.3 3015
36330.3 2178
22800.3 2754
34580.3 2214
47900.3 1581
5630.3 2216
15690.3 4340
16240.3 2532
29640.3 1794
34460.3 3087
41950.3 1287
8360.3 3914
3150.3 4661
41540.3 3010
34680.3 3424
70.3 3562
32050.3 17
41220.3 1135
960.3 4565
32630.3 4810
2700.3 3363
44660.3 4818
9600.3 3657
7350.3 2660
17190.3 3696
48930.3 2093
49480.3 4421
48270.3 1202
29080.3 4833
46380.3 4286
750.3 3788
11890.3 2387
41900.3 3618
16340.3 758
9890.3 3366
15020.3 4045
3830.3 1891
26660.3 3824
15350.3 3465
28830.3 3237
44830.3 3257
44210.3 4486
29820.3 3711
25570.3 2082
10180.3 4757
26840.3 1731
47150.3 872
44420.3 2206
25270.3 1891
25170.3 142
39870.3 1197
6430.3 4770
2660.3 3749
3450.3 4219
12540.3 157
47340.3 2316
38780.3 966
36470.3 1369
48250.3 1676
34690.3 2119
16900.3 4527
2600.3 2751
43500.3 1589
32980.3 427
22080.3 2409
42040.3 3690
14350.3 3392
8470.3 2103
5150.3 2822
32940.3 2302
16210.3 3333
